"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0003360",2544.25124312987,-2.97457581460646,0.116280676229902,-25.5809985893559,2.48269692450036e-144,1.97299924590044e-140
"FBgn0026562",36449.4712727927,-2.45972262456704,0.103992419813768,-23.6529030574726,1.10185837222413e-123,4.37823424203259e-120
"FBgn0025111",1340.22823398493,2.92979822233256,0.126989973424498,23.0710987909173,9.03403605488054e-118,2.39311615093785e-114
"FBgn0039155",463.436895329341,-4.39583996128276,0.211282136558175,-20.8055448174266,3.85554936756423e-96,7.66001270600824e-93
"FBgn0029167",2551.31128757668,-2.24000647045562,0.117360344168589,-19.0865703941515,3.26514797465812e-81,5.18962619092162e-78
"FBgn0261552",3312.42319096503,-2.06433078518805,0.127530842451514,-16.1869140476579,6.23795241262344e-59,8.26216797051974e-56
"FBgn0035085",447.24849438803,-2.51353067367222,0.166404303195759,-15.1049619835569,1.50193001146788e-51,1.70511968587646e-48
"FBgn0034897",655.675641896404,-2.07583035569954,0.148182064113346,-14.0086478624816,1.38007524919637e-44,1.37093225067045e-41
"FBgn0039827",188.592732380576,-4.1554371910205,0.298756667083077,-13.9091027878717,5.57746997014314e-44,4.92490598363639e-41
"FBgn0023479",2212.25698569504,-1.59892153248526,0.117221391347537,-13.6401855847692,2.30972047874723e-42,1.83553486446042e-39
"FBgn0029896",337.726416783467,-2.5630256190641,0.189502516743415,-13.5250215306344,1.11311058832319e-41,8.04171804127675e-39
"FBgn0040099",576.256941213896,-1.98663573942229,0.149948789861192,-13.2487614022183,4.5871130359879e-40,3.03781560808299e-37
"FBgn0259715",675.003368362304,-1.94362247069821,0.148635151829432,-13.0764657402755,4.48828205773725e-39,2.74372134714138e-36
"FBgn0000071",302.369728588971,2.55422374626544,0.196887395008171,12.9730181363791,1.74039953685991e-38,9.87925365673262e-36
"FBgn0033367",13576.1563848341,1.44563636606926,0.112943269721552,12.7996680956138,1.64653452230771e-37,8.72333989918627e-35
"FBgn0034736",162.037485543885,-3.50497600303983,0.286169005581137,-12.2479232016134,1.72353169952496e-34,8.56056651007805e-32
"FBgn0261362",4836.59548696827,1.39257641314414,0.117222306992489,11.8797901941425,1.50745241760658e-32,7.04689668395266e-30
"FBgn0035189",197.468863850507,2.95953599474748,0.264091065913077,11.206497972641,3.78889367972604e-29,1.67279655959905e-26
"FBgn0001226",1157.2783562878,1.57604210916296,0.141547735589097,11.1343505609874,8.53649476112812e-29,3.57050125614133e-26
"FBgn0036821",324.724986853684,-2.09238075871265,0.190035762456053,-11.0104578826132,3.40269958946733e-28,1.35206268187484e-25
